,n_EMPL,TOT_ARPU_3m,TOT_LINEAS_FYM,ARPU_F_3m,ARPU_M_3m,TOT_LINEAS_POT,cADSL,cFusionado,labels
446,0,29.2197,1,29.2197,0.0,0,0,0,1
447,16,22.4,1,0.0,22.4,1,0,0,1
448,2,4.507,1,4.507,0.0,0,0,0,1
449,2,33.28,1,0.0,33.28,0,0,0,1
450,4,82.6489,3,44.5089,38.14,1,1,1,1
451,11,108.4949,1,108.4949,0.0,0,1,0,1
452,5,66.173,2,51.623000000000005,14.55,0,1,1,1
453,3,91.4775,2,52.7175,38.76,0,1,1,1
454,0,81.0574,1,81.0574,0.0,1,1,0,1
455,9,109.0025,3,84.0425,24.96,0,0,0,1
456,0,9.92,1,0.0,9.92,0,0,0,1
457,0,74.7556,1,74.7556,0.0,0,0,0,1
458,2,132.434,4,110.984,21.45,0,0,0,1
459,4,163.5014,2,163.5014,0.0,0,1,0,0
460,2,21.74,1,0.0,21.74,0,0,0,1
461,2,56.9798,2,45.1398,11.84,0,1,1,1
462,27,81.3059,2,81.3059,0.0,0,0,0,1
463,0,288.2651,7,200.2451,88.02,0,1,0,0
464,4,238.1619,6,141.1519,97.01,0,0,0,0
465,15,23.5978,1,23.5978,0.0,0,0,0,1
466,0,25.6346,1,25.6346,0.0,0,0,0,1
467,3,53.6,2,0.0,53.6,0,0,0,1
468,2,42.253,2,14.523,27.73,0,1,1,1
469,2,81.1136,1,81.1136,0.0,0,1,0,1
470,0,253.7988,8,133.7988,120.0,0,0,0,0
471,3,45.1846,1,45.1846,0.0,0,1,0,1
472,0,138.2438,3,110.1438,28.1,0,1,0,1
473,1,121.1379,3,121.1379,0.0,0,0,0,1
474,0,748.96,1,0.0,748.96,0,0,0,4
475,2,18.8246,3,18.8246,0.0,0,0,0,1
476,0,105.3102,7,69.8102,35.5,0,1,1,1
477,13,135.8607,2,135.8607,0.0,0,0,0,0
478,7,108.1378,5,96.8878,11.25,0,0,0,1
479,2,155.1079,3,155.1079,0.0,0,1,0,0
480,0,29.05,1,0.0,29.05,0,0,0,1
481,10,68.9504,1,68.9504,0.0,0,1,0,1
482,1,211.8729,7,146.1029,65.77,0,1,0,0
